method,split,target,metric,value,ci_lower,ci_upper,n
hist_gradient_boosting,test,width,mae,2.1029445259162896,1.2940022540613416,3.0297463795734276,26
hist_gradient_boosting,test,width,rmse,3.1224264769490757,,,26
hist_gradient_boosting,test,width,r2,0.6936033132791561,,,26
hist_gradient_boosting,test,width,mape,2.137756611176356,,,26
hist_gradient_boosting,test,height,mae,2.399703078853133,1.7384671653227777,3.1060317363516203,26
hist_gradient_boosting,test,height,rmse,3.015601301767676,,,26
hist_gradient_boosting,test,height,r2,0.8469186242349488,,,26
hist_gradient_boosting,test,height,mape,2.7757520562199605,,,26
hist_gradient_boosting,validation,width,mae,2.0847327603015846,1.4895803510704275,2.7371780428595254,26
hist_gradient_boosting,validation,width,rmse,2.6536785322098773,,,26
hist_gradient_boosting,validation,width,r2,0.5611451867776907,,,26
hist_gradient_boosting,validation,width,mape,2.1509955466977577,,,26
hist_gradient_boosting,validation,height,mae,1.7179032509886292,1.17389652102464,2.3224255481981952,26
hist_gradient_boosting,validation,height,rmse,2.276142865168614,,,26
hist_gradient_boosting,validation,height,r2,0.8689756627226064,,,26
hist_gradient_boosting,validation,height,mape,1.927755650887037,,,26
linear_calibration,test,width,mae,4.552739039389614,3.487027046929112,5.602583313317607,26
linear_calibration,test,width,rmse,5.359943170227521,,,26
linear_calibration,test,width,r2,0.09714087265353855,,,26
linear_calibration,test,width,mape,4.705957022254818,,,26
linear_calibration,test,height,mae,3.0016562753811606,2.2180985943424103,3.8495949228124133,26
linear_calibration,test,height,rmse,3.6832055811300286,,,26
linear_calibration,test,height,r2,0.7716366357163027,,,26
linear_calibration,test,height,mape,3.461756173408946,,,26
linear_calibration,validation,width,mae,3.2520884064988844,2.547649463258355,3.9588499795741097,26
linear_calibration,validation,width,rmse,3.7559962069545243,,,26
linear_calibration,validation,width,r2,0.12082661205717349,,,26
linear_calibration,validation,width,mape,3.4024679226213723,,,26
linear_calibration,validation,height,mae,2.614665072474624,1.964224437135699,3.371822937739181,26
linear_calibration,validation,height,rmse,3.2094384056522145,,,26
linear_calibration,validation,height,r2,0.73949802097666,,,26
linear_calibration,validation,height,mape,2.9246784036647218,,,26
linear_regression,test,width,mae,2.4990695128394793,1.802676561790168,3.280897265275955,26
linear_regression,test,width,rmse,3.1864545288953003,,,26
linear_regression,test,width,r2,0.680908618968238,,,26
linear_regression,test,width,mape,2.5356555895437562,,,26
linear_regression,test,height,mae,2.718227739898488,1.8432632697317428,3.6824344775664124,26
linear_regression,test,height,rmse,3.6170051566827772,,,26
linear_regression,test,height,r2,0.7797718815960853,,,26
linear_regression,test,height,mape,3.13920960685689,,,26
linear_regression,validation,width,mae,2.3954793451856253,1.791743622495276,3.068217992511931,26
linear_regression,validation,width,rmse,2.9514429624579326,,,26
linear_regression,validation,width,r2,0.4571335114116388,,,26
linear_regression,validation,width,mape,2.4798017729673156,,,26
linear_regression,validation,height,mae,2.046895424350188,1.4767890520733389,2.616572835379959,26
linear_regression,validation,height,rmse,2.52927805264845,,,26
linear_regression,validation,height,r2,0.8382120815474118,,,26
linear_regression,validation,height,mape,2.2850589120136093,,,26
mobilenet_v3_small,test,width,mae,2.8328165511781735,2.1728721612483026,3.5241796519154773,26
mobilenet_v3_small,test,width,rmse,3.3628589740116306,,,26
mobilenet_v3_small,test,width,r2,0.6446004015807653,,,26
mobilenet_v3_small,test,width,mape,2.92328383099971,,,26
mobilenet_v3_small,test,height,mae,4.516285244631988,3.3638270243355057,5.771520070335143,26
mobilenet_v3_small,test,height,rmse,5.532776991222316,,,26
mobilenet_v3_small,test,height,r2,0.4846991682459123,,,26
mobilenet_v3_small,test,height,mape,5.108599539456224,,,26
mobilenet_v3_small,validation,width,mae,2.537843352061557,1.837731543692644,3.3673380365576637,26
mobilenet_v3_small,validation,width,rmse,3.2951856874008048,,,26
mobilenet_v3_small,validation,width,r2,0.32331892753519276,,,26
mobilenet_v3_small,validation,width,mape,2.6370662413443315,,,26
mobilenet_v3_small,validation,height,mae,3.0807539006283196,2.4465482340415625,3.7552974159536863,26
mobilenet_v3_small,validation,height,rmse,3.512428756019607,,,26
mobilenet_v3_small,validation,height,r2,0.6879903800609402,,,26
mobilenet_v3_small,validation,height,mape,3.3600309064899756,,,26
random_forest,test,width,mae,2.2281182030932,1.4597756120170744,3.0564106419061665,26
random_forest,test,width,rmse,3.030624699432871,,,26
random_forest,test,width,r2,0.7113550660302606,,,26
random_forest,test,width,mape,2.2946586577246517,,,26
random_forest,test,height,mae,2.8833353808584667,2.0768305530705238,3.681918344995472,26
random_forest,test,height,rmse,3.53061879365804,,,26
random_forest,test,height,r2,0.7901658501328926,,,26
random_forest,test,height,mape,3.3204107337986857,,,26
random_forest,validation,width,mae,2.083608044733059,1.4655721212583723,2.784110566274025,26
random_forest,validation,width,rmse,2.7270037343122953,,,26
random_forest,validation,width,r2,0.5365576592134864,,,26
random_forest,validation,width,mape,2.1543395813572905,,,26
random_forest,validation,height,mae,1.9075230727605723,1.4147133008426864,2.421839856208599,26
random_forest,validation,height,rmse,2.3083687500192887,,,26
random_forest,validation,height,r2,0.8652392842196257,,,26
random_forest,validation,height,mape,2.139640009439027,,,26
ridge,test,width,mae,3.335748152358682,2.5400692923682926,4.1992582423664695,26
ridge,test,width,rmse,3.95893198334899,,,26
ridge,test,width,r2,0.5074438981002294,,,26
ridge,test,width,mape,3.384562225917941,,,26
ridge,test,height,mae,2.637975232505341,1.7753540167072537,3.5778259093109672,26
ridge,test,height,rmse,3.5319782877987014,,,26
ridge,test,height,r2,0.7900042222504188,,,26
ridge,test,height,mape,3.040190503458807,,,26
ridge,validation,width,mae,2.527361087742056,1.7767137798964905,3.2765438743464257,26
ridge,validation,width,rmse,3.2311634899715918,,,26
ridge,validation,width,r2,0.34935797696817583,,,26
ridge,validation,width,mape,2.6272834820582682,,,26
ridge,validation,height,mae,1.9559903494112736,1.3978854363586928,2.5455679748905,26
ridge,validation,height,rmse,2.4534902628475774,,,26
ridge,validation,height,r2,0.8477625103763231,,,26
ridge,validation,height,mape,2.1852733365294714,,,26
